,neighborhood,number_stores,number_restaurants,crime_rate,average_income
0,Greenpoint,38,63,1386,75638
1,Williamsburg,40,70,1612,65672
2,South Williamsburg,28,53,1612,61174
3,East Williamsburg,81,133,1386,58371
4,Brooklyn Heights,16,26,1207,107874
5,Downtown Brooklyn-DUMBO-Boerum Hill,21,33,1207,100792
6,Fort Greene,33,62,853,87501
7,Clinton Hill,12,39,853,74211
8,Brooklyn Navy Yard,23,46,853,86783
9,Bedford-Stuyvesant (West),42,85,1420,60406
10,Bedford-Stuyvesant (East),45,77,1295,49210
11,Bushwick (West),59,106,1969,47160
12,Bushwick (East),88,155,1969,45928
13,The Evergreens Cemetery,44,83,1969,45584
14,Cypress Hills,94,144,4106,43969
15,East New York (North),54,96,4106,40377
16,East New York-New Lots,59,114,4106,41121
17,Spring Creek-Starrett City,58,112,4106,42885
18,East New York-City Line,42,84,4106,48230
19,Highland Park-Cypress Hills Cemeteries (South),82,127,4106,43220
20,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,44,78,565,97964
21,Park Slope,30,58,1197,91978
22,Windsor Terrace-South Slope,53,86,1699,68733
23,Sunset Park (West),41,70,1699,59593
24,Sunset Park (Central),34,60,1699,39230
25,Green-Wood Cemetery,40,62,1699,68651
26,Prospect Heights,10,26,1352,88220
27,Crown Heights (North),49,100,1352,54413
28,Lincoln Terrace Park,18,50,1352,43338
29,Crown Heights (South),57,108,1188,54462
30,Prospect Lefferts Gardens-Wingate,81,137,1188,62663
31,Bay Ridge,37,66,878,52650
32,Dyker Heights,50,88,878,49089
33,Fort Hamilton,22,33,878,62754
34,Dyker Beach Park,22,33,878,62754
35,Bensonhurst,96,129,1381,48810
36,Bath Beach,38,51,1381,57454
37,Gravesend (West),61,85,1381,49483
38,Sunset Park (East)-Borough Park (West),34,60,1276,39230
39,Borough Park,69,95,1276,49267
40,Kensington,48,72,1276,52286
41,Mapleton-Midwood (West),45,67,1276,50360
42,Gravesend (South),47,98,1380,49527
43,Coney Island-Sea Gate,47,98,1380,49527
44,Brighton Beach,22,56,1380,50825
45,Calvert Vaux Park,16,18,1380,46854
46,Flatbush,70,104,1418,62349
47,Flatbush (West)-Ditmas Park-Parkville,50,79,1418,54485
48,Midwood,46,50,1418,56417
49,Gravesend (East)-Homecrest,69,96,1653,54700
50,Madison,68,91,1653,58371
51,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,73,100,1653,59276
52,Ocean Hill,50,101,1900,43094
53,Brownsville,51,110,1900,43564
54,East Flatbush-Erasmus,61,84,2149,50978
55,East Flatbush-Farragut,69,107,2149,53554
56,East Flatbush-Rugby,65,134,2149,48897
57,East Flatbush-Remsen Village,55,110,2149,45443
58,Holy Cross Cemetery,20,25,2149,47261
59,Flatlands,67,113,1086,54268
60,Marine Park-Mill Basin-Bergen Beach,76,113,1086,56956
61,Canarsie,80,157,837,49168
62,Marine Park-Plumb Island,73,100,1086,59276
63,McGuire Fields,22,41,1086,64233
64,Canarsie Park & Pier,17,35,837,49941
65,Prospect Park,72,123,1197,59154
66,Barren Island-Floyd Bennett Field,22,41,1086,64233
67,Jamaica Bay (West),2,10,837,56883
68,Shirley Chisholm State Park,22,38,4106,40911
69,Mott Haven-Port Morris,24,47,2876,34778
70,Melrose,25,54,2876,34361
71,Hunts Point,51,72,1554,33459
72,Longwood,35,64,1554,33295
73,North & South Brother Islands,17,24,1554,33285
74,Morrisania,25,47,2282,34428
75,Claremont Village-Claremont (East),20,26,2282,32502
76,Crotona Park East,55,81,2282,33553
77,Crotona Park,20,28,2282,32925
78,Concourse-Concourse Village,21,33,3566,34363
79,Highbridge,33,32,3566,34118
80,Mount Eden-Claremont (West),46,44,3566,32452
81,Yankee Stadium-Macombs Dam Park,20,29,3566,35269
82,Claremont Park,20,26,3566,32502
83,University Heights (South)-Morris Heights,40,45,2213,33081
84,Mount Hope,45,40,2213,32420
85,Fordham Heights,51,68,2213,33065
86,West Farms,54,90,2156,37246
87,Tremont,24,40,2156,33261
88,Belmont,24,40,2156,33261
89,University Heights (North)-Fordham,41,65,2180,39856
90,Bedford Park,49,87,2180,41654
91,Norwood,62,105,2180,50322
92,Kingsbridge Heights-Van Cortlandt Village,57,89,1534,54513
93,Kingsbridge-Marble Hill,36,64,1534,59682
94,Riverdale-Spuyten Duyvil,22,37,1534,72306
95,Soundview-Bruckner-Bronx River,38,74,3510,39739
96,Soundview-Clason Point,19,37,3510,39481
97,Castle Hill-Unionport,43,84,3510,47180
98,Parkchester,56,98,3510,42302
99,Soundview Park,19,37,3510,39481
100,Westchester Square,38,70,1557,50146
101,Throgs Neck-Schuylerville,43,82,1557,54609
102,Pelham Bay-Country Club-City Island,24,52,1557,65163
103,Co-op City,16,35,1557,60479
